"package","clazz","func","full_signature","internal_signature","location","parameter_types","return_type","doc"
"boa.src","utility","char_replace","int char_replace(char *str, char a, char b)","char_replace(char, char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:135:0","char;char;char","int","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","dirExits","int dirExits(char *path)","dirExits(char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:150:0","char","int","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","readline","int readline(int s, char* buff, int buffsize)","readline(int, char*, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:160:0","int;char*;int","int","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","bt_parsefile","int bt_parsefile(char *buf,int size, struct ctfile_t *file)","bt_parsefile(char, int, struct ctfile_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:188:0","char;int;struct ctfile_t","int","[IFDEF CONFIG_RTL_BT_CLIENT] ""%s\t%u\t%u\t%u\t%llu\t%d\t\n"", f->filename, f->fileno, f->n_have, f->n_pieces, f->filesize, f->download)  /"
"boa.src","utility","bt_parseCtorrent","int bt_parseCtorrent(char *buf, int size, struct ctorrent_t *tp)","bt_parseCtorrent(char, int, struct ctorrent_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:219:0","char;int;struct ctorrent_t","int","[IFDEF CONFIG_RTL_BT_CLIENT] %s\t%s\t%u\t%u\t%llu\t%u\t%u\t%llu\t%llu\t%d\t%u\t%u\t%u\t%u\t%u\t%hd\t%u\t%u\t%llu\t\n"", fname, cls[i].severity != -1 ? cls[i].msg : """", cls[i].seeders, cls[i].leechers, cls[i].size, cls[i].dl_rate, cls[i].ul_rate, cls[i].dl_total, cls[i].ul_total, i, cls[i].dl_limit, cls[i].ul_limit, cls[i].n_have, cls[i].n_total, cls[i].piece_size, cls[i].paused, cls[i].total_time, cls[i].seed_time, cls[i].dsize  /"
"boa.src","utility","parse_torrentDetails","int parse_torrentDetails()","parse_torrentDetails()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:270:0","void","int","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","parse_torrents","int parse_torrents(char *buf, struct torrent_t *torrentp)","parse_torrents(char, struct torrent_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:278:0","char;struct torrent_t","int","[IFDEF CONFIG_RTL_BT_CLIENT] trs[i].status, trs[i].ctorrent, i, trs[i].n_have, trs[i].n_total, trs[i].piece_size);  /"
"boa.src","utility","bt_socket","int bt_socket()","bt_socket()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:305:0","void","int","[IFDEF CONFIG_RTL_BT_CLIENT] Create Socket"
"boa.src","utility","bt_get","void bt_get()","bt_get()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:330:0","void","void","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","bt_getClientsInfo","int bt_getClientsInfo(struct ctorrent_t *ctorrentp, int max)","bt_getClientsInfo(struct ctorrent_t, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:349:0","struct ctorrent_t;int","int","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","bt_setLimits","void bt_setLimits(int ulimit, int dlimit,int writeconf)","bt_setLimits(int, int, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:381:0","int;int;int","void","[IFDEF CONFIG_RTL_BT_CLIENT] Return Format: OK or FAIL /"
"boa.src","utility","bt_getLimits","void bt_getLimits(int *ulimitp, int *dlimitp)","bt_getLimits(int, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:406:0","int;int","void","[IFDEF CONFIG_RTL_BT_CLIENT] Return Format: ""ulimt/dlimit\n\n"" /"
"boa.src","utility","bt_clientQuit","void bt_clientQuit(int index)","bt_clientQuit(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:433:0","int","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_clientUpdate","void bt_clientUpdate(int index)","bt_clientUpdate(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:458:0","int","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_clientPause","void bt_clientPause(int index)","bt_clientPause(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:484:0","int","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_getTorrents","int bt_getTorrents(struct torrent_t *torrentp, int max)","bt_getTorrents(struct torrent_t, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:507:0","struct torrent_t;int","int","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","dumpfile","void dumpfile(struct ctfile_t *file,int filecount)","dumpfile(struct ctfile_t, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:533:0","struct ctfile_t;int","void","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","dumpTorrents","void dumpTorrents(struct torrent_t *torrentp, int count)","dumpTorrents(struct torrent_t, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:545:0","struct torrent_t;int","void","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","dumpClients","void dumpClients(struct ctorrent_t *ctorrentp, int count)","dumpClients(struct ctorrent_t, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:563:0","struct ctorrent_t;int","void","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","bt_startTorrent","void bt_startTorrent(int index)","bt_startTorrent(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:577:0","int","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_deleteTorrent","void bt_deleteTorrent(int index, int delData)","bt_deleteTorrent(int, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:602:0","int;int","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_getDetails","int bt_getDetails(int index, struct ctfile_t *file, int max)","bt_getDetails(int, struct ctfile_t, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:627:0","int;struct ctfile_t;int","int","[IFDEF CONFIG_RTL_BT_CLIENT] Format Return: see bt_parsefile /"
"boa.src","utility","bt_getStats","void bt_getStats(struct stats_t *statusp)","bt_getStats(struct stats_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:656:0","struct stats_t","void","[IFDEF CONFIG_RTL_BT_CLIENT] Return Format:""%llu\t%llu\t%u\t%u\t%llu\t%llu\t\n"", stats.up, stats.down, stats.totaltime, stats.sumtorrents, dsize, dfree); /"
